,business_id,inspection_business_name,city,description,InspectTypeCnt_Consult,InspectTypeCnt_Routine,InspectTypeCnt_Return,ViolationCnt_Blue,ViolationCnt_Red,SafetyGroup
0,PR0076669,ROCK WOOD FIRED PIZZA,federal way,Seating 151-250 - Risk Category III,1.0,1.0,0.0,0.0,1.0,Average
1,PR0002798,FIVE POINT CAFE,seattle,Seating 51-150 - Risk Category III,0.0,9.0,1.0,4.0,5.0,Low
2,PR0086314,BOARDWALK ESPRESSO,des moines,Limited Food Services - no permanent plumbing,0.0,2.0,0.0,1.0,0.0,Average
3,PR0076248,QFC #840,issaquah,Seating 13-50 - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
4,PR0017393,PARKSIDE DELI & SUNDRIES,bothell,Seating 13-50 - Risk Category III,0.0,15.0,2.0,5.0,12.0,VeryLow
5,PR0086839,DEAD LINE,seattle,Seating 13-50 - Risk Category III,1.0,1.0,0.0,1.0,0.0,Average
6,PR0008290,YUMMY BITES,seattle,Seating 13-50 - Risk Category III,0.0,20.0,2.0,6.0,14.0,VeryLow
7,PR0076968,FRED MEYER INC #215,kent,Meat/Sea Food - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
8,PR0054520,THAI GINGER,issaquah,Seating 51-150 - Risk Category III,2.0,5.0,1.0,2.0,4.0,Average
9,PR0086152,DELTA SKY CLUB,seatac,Seating > 250 - Risk Category III,0.0,2.0,0.0,1.0,0.0,Average
10,PR0085893,GARFIELD EATS,seattle,Seating 0-12 - Risk Category III,1.0,0.0,0.0,0.0,0.0,NotInspected
11,PR0004863,SECOMA LANES & COPPER ROOM,federal way,Seating 51-150 - Risk Category III,1.0,1.0,0.0,0.0,0.0,Average
12,PR0079919,BIG ORANGE,tukwila,Seating 0-12 - Risk Category II,1.0,4.0,0.0,3.0,1.0,Average
13,PR0049546,SAFEWAY INC #1551,seattle,Meat/Sea Food - Risk Category III,1.0,1.0,0.0,0.0,0.0,Average
14,PR0081936,SEATTLE PHO AND BAR,seattle,Seating 51-150 - Risk Category III,0.0,2.0,0.0,1.0,1.0,Average
15,PR0077890,CUTTERS POINT COFFEE,kent,Seating 13-50 - Risk Category II,0.0,2.0,0.0,2.0,0.0,Average
16,PR0086222,HAMPTON INN AND SUITES NORTHGATE,seattle,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
17,PR0025914,HARBOR MARINA DELI,seattle,Seating 13-50 - Risk Category III,1.0,10.0,1.0,5.0,5.0,Low
18,PR0040236,NORDSTROM,bellevue,Seating 0-12 - Risk Category II,1.0,2.0,0.0,1.0,1.0,Average
19,PR0085694,"RED TEA ROOM, THE",renton,Caterer - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
20,PR0077761,SEATTLE LOTUS VEGETARIAN RESTAURANT,seattle,Seating 13-50 - Risk Category III,0.0,2.0,0.0,0.0,2.0,Average
21,PR0069793,PHO-BAC,seattle,Seating 13-50 - Risk Category III,1.0,6.0,0.0,4.0,2.0,Average
22,PR0070764,SAFEWAY INC #1551,seattle,Seating 0-12 - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
23,PR0086194,HEALTHY BONEZ BEVERAGE,kirkland,Seating 0-12 - Risk Category II,0.0,4.0,0.0,3.0,0.0,High
24,PR0069326,METROPOLITAN MARKET  #156,seattle,Meat/Sea Food - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
25,PR0015953,KING'S DELI,seattle,Seating 0-12 - Risk Category III,2.0,1.0,0.0,0.0,0.0,Average
26,PR0067214,SAFEWAY STORE #1966,kent,Bakery-no seating - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
